date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-06-19 00:00:00+00:00,1104.51,1109.43,1096.03,1107.24,1336015,55.1624607899,55.408179984,54.7389447805,55.2988049769,26720300,0.0,1.0
2019-06-20 00:00:00+00:00,1113.2,1122.72,1107.0,1121.7,1200908,55.5964648137,56.0719214657,55.2868186747,56.0209796815,24018160,0.0,1.0
2019-06-21 00:00:00+00:00,1125.37,1126.57,1109.72,1109.86,2538872,56.2042702186,56.2642017294,55.4226634325,55.429655442,50777440,0.0,1.0
2019-06-24 00:00:00+00:00,1116.7,1123.57,1113.31,1120.0,1211893,55.7712650534,56.1143729525,55.6019585355,55.936076708,24237860,0.0,1.0
2019-06-25 00:00:00+00:00,1087.58,1115.7,1084.6,1115.08,1582217,54.316927059,55.7213221277,54.1680971406,55.6903575138,31644340,0.0,1.0
2019-06-26 00:00:00+00:00,1080.32,1095.12,1073.69,1091.0,1734873,53.9543414189,54.6934967182,53.6232198219,54.4877318646,34697460,0.0,1.0
2019-06-27 00:00:00+00:00,1076.63,1088.46,1075.85,1086.75,1203914,53.7700520233,54.3608768335,53.7310965413,54.2754744307,24078280,0.0,1.0
2019-06-28 00:00:00+00:00,1082.8,1082.8,1073.8,1077.23,1683568,54.0781998744,54.0781998744,53.6287135437,53.8000177787,33671360,0.0,1.0
2019-07-01 00:00:00+00:00,1100.0,1108.59,1095.33,1101.04,1464449,54.9372181953,55.3662279265,54.7039847326,54.989158838,29288980,0.0,1.0
2019-07-02 00:00:00+00:00,1112.6,1112.89,1099.67,1104.83,1031919,55.5664990583,55.5809825067,54.9207370298,55.1784425261,20638380,0.0,1.0
2019-07-03 00:00:00+00:00,1122.99,1127.99,1114.85,1118.5,1007718,56.0854060556,56.3351206838,55.6788706409,55.8611623195,20154360,0.0,1.0
2019-07-05 00:00:00+00:00,1132.67,1134.65,1117.5,1119.37,1489678,56.5688535757,56.6677405685,55.8112193939,55.9046126648,29793560,0.0,1.0
