date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-06-19 00:00:00+00:00,30.5,30.79,30.06,30.665,63233939,30.5,30.79,30.06,30.665,63233939,0.0,1.0
2019-06-20 00:00:00+00:00,30.01,31.36,29.84,31.24,72418162,30.01,31.36,29.84,31.24,72418162,0.0,1.0
2019-06-21 00:00:00+00:00,29.1,30.35,28.97,29.65,81861322,29.1,30.35,28.97,29.65,81861322,0.0,1.0
2019-06-24 00:00:00+00:00,29.26,29.4,28.67,29.32,55724826,29.26,29.4,28.67,29.32,55724826,0.0,1.0
2019-06-25 00:00:00+00:00,28.86,29.72,28.8,29.26,53680887,28.86,29.72,28.8,29.26,53680887,0.0,1.0
2019-06-26 00:00:00+00:00,29.92,30.48,29.78,29.98,65064199,29.92,30.48,29.78,29.98,65064199,0.0,1.0
2019-06-27 00:00:00+00:00,30.74,30.96,30.21,30.41,55623309,30.74,30.96,30.21,30.41,55623309,0.0,1.0
2019-06-28 00:00:00+00:00,30.37,31.11,30.33,31.08,50090925,30.37,31.11,30.33,31.08,50090925,0.0,1.0
2019-07-01 00:00:00+00:00,31.2,32.04,30.87,31.79,60525532,31.2,32.04,30.87,31.79,60525532,0.0,1.0
2019-07-02 00:00:00+00:00,31.24,31.26,30.73,30.96,37721679,31.24,31.26,30.73,30.96,37721679,0.0,1.0
2019-07-03 00:00:00+00:00,31.19,31.33,30.74,31.13,23462004,31.19,31.33,30.74,31.13,23462004,0.0,1.0
2019-07-05 00:00:00+00:00,31.5,31.56,30.75,30.88,34011867,31.5,31.56,30.75,30.88,34011867,0.0,1.0
2019-07-08 00:00:00+00:00,32.04,32.15,31.26,31.8,49689399,32.04,32.15,31.26,31.8,49689399,0.0,1.0
2019-07-09 00:00:00+00:00,33.15,33.18,30.1,31.76,61419773,33.15,33.18,30.1,31.76,61419773,0.0,1.0
2019-07-10 00:00:00+00:00,33.79,34.03,33.36,33.56,60388439,33.79,34.03,33.36,33.56,60388439,0.0,1.0
2019-07-11 00:00:00+00:00,33.06,34.0,32.76,33.91,63081800,33.06,34.0,32.76,33.91,63081800,0.0,1.0
2019-07-12 00:00:00+00:00,33.21,33.39,32.59,32.76,51509682,33.21,33.39,32.59,32.76,51509682,0.0,1.0
2019-07-15 00:00:00+00:00,34.39,34.55,33.27,33.34,65565248,34.39,34.55,33.27,33.34,65565248,0.0,1.0
2019-07-16 00:00:00+00:00,33.85,34.86,33.8,34.3,66912699,33.85,34.86,33.8,34.3,66912699,0.0,1.0
2019-07-17 00:00:00+00:00,33.6,34.3,33.49,34.01,42557903,33.6,34.3,33.49,34.01,42557903,0.0,1.0
2019-07-18 00:00:00+00:00,33.0,33.46,32.42,33.03,58610857,33.0,33.46,32.42,33.03,58610857,0.0,1.0
2019-07-19 00:00:00+00:00,32.51,33.35,32.45,33.08,44617702,32.51,33.35,32.45,33.08,44617702,0.0,1.0
2019-07-22 00:00:00+00:00,32.85,33.31,32.74,32.8,37777312,32.85,33.31,32.74,32.8,37777312,0.0,1.0
2019-07-23 00:00:00+00:00,33.49,33.5,32.93,33.17,38532460,33.49,33.5,32.93,33.17,38532460,0.0,1.0
2019-07-24 00:00:00+00:00,34.11,34.36,33.45,33.64,41952256,34.11,34.36,33.45,33.64,41952256,0.0,1.0
2019-07-25 00:00:00+00:00,33.67,34.25,33.62,34.05,36705616,33.67,34.25,33.62,34.05,36705616,0.0,1.0
2019-07-26 00:00:00+00:00,34.02,34.77,33.87,34.23,43502776,34.02,34.77,33.87,34.23,43502776,0.0,1.0
2019-07-29 00:00:00+00:00,33.48,34.18,32.98,34.14,45921978,33.48,34.18,32.98,34.14,45921978,0.0,1.0
2019-07-30 00:00:00+00:00,33.87,33.94,32.94,33.21,72198880,33.87,33.94,32.94,33.21,72198880,0.0,1.0
2019-07-31 00:00:00+00:00,30.45,32.3,30.3,32.08,119190001,30.45,32.3,30.3,32.08,119190001,0.0,1.0
2019-08-01 00:00:00+00:00,29.86,31.48,29.1,30.5,80878890,29.86,31.48,29.1,30.5,80878890,0.0,1.0
2019-08-02 00:00:00+00:00,29.44,29.73,28.94,29.48,60410852,29.44,29.73,28.94,29.48,60410852,0.0,1.0
2019-08-05 00:00:00+00:00,27.99,28.49,27.65,28.26,74333240,27.99,28.49,27.65,28.26,74333240,0.0,1.0
2019-08-06 00:00:00+00:00,28.86,29.05,28.2,28.86,60578444,28.86,29.05,28.2,28.86,60578444,0.0,1.0
2019-08-07 00:00:00+00:00,29.19,29.28,28.37,28.47,58577543,29.19,29.28,28.37,28.47,58577543,0.0,1.0
2019-08-08 00:00:00+00:00,33.92,34.27,31.48,31.53,167278810,33.92,34.27,31.48,31.53,167278810,0.0,1.0
2019-08-09 00:00:00+00:00,34.19,35.55,33.08,33.45,132483947,34.19,35.55,33.08,33.45,132483947,0.0,1.0
2019-08-12 00:00:00+00:00,32.43,34.65,32.08,34.16,106936040,32.43,34.65,32.08,34.16,106936040,0.0,1.0
2019-08-13 00:00:00+00:00,32.11,33.14,31.72,32.36,102579321,32.11,33.14,31.72,32.36,102579321,0.0,1.0
2019-08-14 00:00:00+00:00,30.24,31.05,29.51,31.0,127521456,30.24,31.05,29.51,31.0,127521456,0.0,1.0
