date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-06-19 00:00:00+00:00,135.69,135.93,133.81,135.0,23744441,129.3841531758,129.6129997876,127.5915213829,128.7262191667,23744441,0.0,1.0
2019-06-20 00:00:00+00:00,136.95,137.66,135.72,137.45,33042592,130.585597888,131.262602448,129.4127590022,131.0623616627,33042592,0.0,1.0
2019-06-21 00:00:00+00:00,136.97,137.73,136.46,136.58,36727892,130.604668439,131.3293493765,130.1183693888,130.2327926947,36727892,0.0,1.0
2019-06-24 00:00:00+00:00,137.78,138.4,137.0,137.0,20628841,131.377025754,131.9682128346,130.6332742654,130.6332742654,20628841,0.0,1.0
2019-06-25 00:00:00+00:00,133.43,137.59,132.73,137.25,33327420,127.2291809141,131.1958555196,126.5617116296,130.8716561528,33327420,0.0,1.0
2019-06-26 00:00:00+00:00,133.93,135.74,133.6,134.35,23657745,127.7059446888,129.4318295532,127.3912805975,128.1064262596,23657745,0.0,1.0
2019-06-27 00:00:00+00:00,134.15,134.71,133.51,134.14,16557482,127.9157207497,128.4496961774,127.3054631181,127.9061854742,16557482,0.0,1.0
2019-06-28 00:00:00+00:00,133.96,134.6,133.16,134.57,30042969,127.7345505153,128.3448081469,126.9717284758,128.3162023204,30042969,0.0,1.0
2019-07-01 00:00:00+00:00,135.68,136.7,134.97,136.63,22654160,129.3746179003,130.3472160006,128.6976133402,130.2804690722,22654160,0.0,1.0
2019-07-02 00:00:00+00:00,136.58,136.59,135.34,136.12,15237843,130.2327926947,130.2423279702,129.0504185335,129.794170022,15237843,0.0,1.0
2019-07-03 00:00:00+00:00,137.46,137.74,136.29,136.8,13629296,131.0718969382,131.338884652,129.9562697054,130.4425687556,13629296,0.0,1.0
2019-07-05 00:00:00+00:00,137.06,137.33,135.72,135.94,18141140,130.6904859184,130.9479383567,129.4127590022,129.6225350631,18141140,0.0,1.0
2019-07-08 00:00:00+00:00,136.96,137.1,135.37,136.4,16779748,130.5951331635,130.7286270204,129.07902436,130.0611577358,16779748,0.0,1.0
2019-07-09 00:00:00+00:00,136.46,136.97,135.8,136.0,19953097,130.1183693888,130.604668439,129.4890412062,129.6797467161,19953097,0.0,1.0
2019-07-10 00:00:00+00:00,137.85,138.58,137.02,137.13,24204362,131.4437726824,132.1398477935,130.6523448164,130.7572328469,24204362,0.0,1.0
2019-07-11 00:00:00+00:00,138.4,139.22,137.87,138.2,22327942,131.9682128346,132.7501054251,131.4628432334,131.7775073247,22327942,0.0,1.0
2019-07-12 00:00:00+00:00,138.9,139.13,138.01,138.85,18936832,132.4449766093,132.6642879456,131.5963370903,132.3973002318,18936832,0.0,1.0
2019-07-15 00:00:00+00:00,138.9,139.54,138.46,139.44,16651457,132.4449766093,133.0552342409,132.0254244875,132.9598814859,16651457,0.0,1.0
2019-07-16 00:00:00+00:00,137.08,139.05,136.52,138.96,22726128,130.7095564694,132.5880057417,130.1755810417,132.5021882622,22726128,0.0,1.0
